id,Income,Age,Dependents,Occupation,City_Tier,Rent,Loan_Repayment,Insurance,Groceries,Transport,Eating_Out,Entertainment,Utilities,Healthcare,Education,Miscellaneous,Total_Expenses,Desired_Savings_Percentage,Desired_Savings,Disposable_Income,Potential_Savings_Rent,Potential_Savings_Loan_Repayment,Potential_Savings_Insurance,Potential_Savings_Groceries,Potential_Savings_Transport,Potential_Savings_Eating_Out,Potential_Savings_Entertainment,Potential_Savings_Utilities,Potential_Savings_Healthcare,Potential_Savings_Education,Potential_Savings_Miscellaneous
705,92000,19,1,Salaried,Tier_1,26570,19450,1280,8890,6320,8090,3650,3470,2380,1080,2930,84110,8.9,8190,7890,800,580,40,270,630,2830,1100,100,70,30,730
706,187100,19,2,Salaried,Tier_1,50480,39200,7800,28310,16080,6030,2710,10630,7110,2990,8940,180280,15.4,28810,6820,1510,1180,230,850,1610,2110,810,320,210,90,2240
707,87000,31,3,Salaried,Tier_2,16350,710,2380,10490,3520,1820,3990,4990,6250,9150,4210,63860,27.4,23840,23140,490,20,70,310,350,640,1200,150,190,270,1050
708,116900,21,0,Salaried,Tier_1,40230,0,3800,15030,7430,8090,4870,5680,5510,600,2750,93990,17.9,20930,22910,1210,0,110,450,740,2830,1460,170,170,20,690
709,94200,48,0,Freelancer,Tier_2,20470,0,3350,8720,6110,4340,4650,4780,1640,1140,5240,60440,26.2,24680,33760,610,0,100,260,610,1520,1400,140,50,30,1310
710,86400,40,2,Salaried,Tier_3,18750,0,3940,8770,7350,7670,1370,3370,4170,7720,4670,67780,23.5,20300,18620,560,0,120,260,740,2680,410,100,130,230,1170
711,42300,65,0,Retired,Tier_3,9220,0,1400,3400,2670,3640,1670,2000,2090,370,1400,27860,30.6,12940,14440,280,0,40,100,270,1270,500,60,60,10,350
712,44600,19,0,Salaried,Tier_3,8170,4000,1790,3060,3050,2310,1930,2490,870,0,2310,29980,21.6,9630,14620,250,120,50,90,300,810,580,70,30,0,580
713,94100,56,2,Salaried,Tier_1,14870,0,1030,6820,3510,3110,3860,2490,2470,10740,3470,52370,17.7,16660,41730,450,0,30,200,350,1090,1160,70,70,320,870
714,98100,44,1,Salaried,Tier_2,22180,10330,3390,6710,5830,2180,2240,2250,4770,10140,3470,73490,22.6,22170,24610,670,310,100,200,580,760,670,70,140,300,870
715,104600,27,0,Salaried,Tier_2,13280,11220,4840,10250,6550,2700,4080,5090,5870,860,5230,69970,14.5,15170,34630,400,340,150,310,660,940,1220,150,180,30,1310
716,62800,59,3,Retired,Tier_1,10340,11920,2590,10500,3560,3460,1790,3730,2290,6970,2900,60050,9.3,5840,2750,310,360,80,320,360,1210,540,110,70,210,720
717,77400,28,0,Self-Employed,Tier_2,11560,4940,1800,5320,3040,7300,1390,3050,800,1080,4050,44330,32.4,25080,33070,350,150,50,160,300,2560,420,90,20,30,1010
718,32800,37,2,Freelancer,Tier_1,9280,6580,460,2710,2440,2830,1070,1430,1080,2750,680,31310,22.2,7280,1490,280,200,10,80,240,990,320,40,30,80,170
719,144100,19,2,Business Owner,Tier_2,31750,13390,1820,13540,12530,7790,3750,9490,9250,2270,3580,109160,12.4,17870,34940,950,400,50,410,1250,2730,1120,280,280,70,900
720,47400,19,3,Self-Employed,Tier_2,12430,1930,1260,6160,2080,1720,730,2820,620,50,2440,32240,11.0,5210,15160,370,60,40,180,210,600,220,80,20,0,610
721,103000,39,4,Business Owner,Tier_2,28320,18160,1810,13320,6050,3330,2630,6160,5040,1490,2660,88970,11.4,11740,14030,850,540,50,400,600,1170,790,180,150,40,660
722,97500,44,2,Self-Employed,Tier_3,26440,7760,1850,9160,3270,5880,4370,5790,1290,1180,5580,72570,18.6,18140,24930,790,230,60,270,330,2060,1310,170,40,40,1400
723,36400,32,1,Self-Employed,Tier_3,10190,0,1460,2850,2400,1750,1490,1470,450,40,850,22950,32.1,11680,13450,310,0,40,90,240,610,450,40,10,0,210
724,11400,27,2,Salaried,Tier_2,1990,0,260,1120,990,640,290,730,590,140,650,7400,24.3,2770,4000,60,0,10,30,100,220,90,20,20,0,160
725,100900,38,1,Business Owner,Tier_2,21500,14020,2020,8880,4670,4870,3080,3540,6030,10980,4300,83890,17.4,17560,17010,640,420,60,270,470,1700,920,110,180,330,1080
726,48800,23,1,Salaried,Tier_3,12600,0,760,6410,2330,3320,1190,2200,1370,700,2110,32990,12.7,6200,15810,380,0,20,190,230,1160,360,70,40,20,530
727,44000,44,1,Business Owner,Tier_3,6730,0,1310,3790,2600,2060,1440,1970,820,480,1320,22520,34.1,15000,21480,200,0,40,110,260,720,430,60,20,10,330
728,83200,40,1,Freelancer,Tier_3,18720,5070,2720,6820,2750,4150,4100,3940,3040,580,2060,53950,12.9,10730,29250,560,150,80,200,280,1450,1230,120,90,20,520
729,66600,24,3,Salaried,Tier_3,14570,3930,2750,11070,4740,2290,3040,3520,870,400,3000,50180,15.5,10320,16420,440,120,80,330,470,800,910,110,30,10,750
730,86000,24,0,Salaried,Tier_1,14570,0,1950,6670,6740,6690,1560,3840,4960,140,4270,51390,34.4,29580,34610,440,0,60,200,670,2340,470,120,150,0,1070
731,103000,46,3,Salaried,Tier_2,15430,3930,1940,8760,4570,4280,3420,5620,3750,2640,2470,56810,10.2,10510,46190,460,120,60,260,460,1500,1030,170,110,80,620
732,43700,33,0,Business Owner,Tier_2,7380,8480,1300,5380,2680,2230,1310,1950,2270,480,1530,34990,27.0,11800,8710,220,250,40,160,270,780,390,60,70,10,380
733,127100,27,0,Self-Employed,Tier_2,22440,11330,2540,10580,5570,9460,3660,2670,7210,560,6090,82110,20.2,25670,44990,670,340,80,320,560,3310,1100,80,220,20,1520
734,8100,28,2,Freelancer,Tier_1,1270,0,160,840,730,430,140,510,400,90,420,4990,30.8,2490,3110,40,0,0,30,70,150,40,20,10,0,100
735,61600,63,1,Retired,Tier_1,9510,0,1730,5550,5020,2430,2870,1940,1700,3850,1800,36400,10.5,6470,25200,290,0,50,170,500,850,860,60,50,120,450
736,6000,31,2,Salaried,Tier_2,1310,0,270,550,470,200,230,160,100,590,160,4040,11.4,680,1960,40,0,10,20,50,70,70,0,0,20,40
737,102800,33,0,Self-Employed,Tier_2,28160,17330,3140,6340,6200,2960,1580,2250,1830,240,5600,75630,30.5,31350,27170,840,520,90,190,620,1040,470,70,50,10,1400
738,134900,30,1,Self-Employed,Tier_1,36490,22390,1710,13140,4050,8460,5660,6860,4330,8770,4880,116740,22.2,29950,18160,1090,670,50,390,400,2960,1700,210,130,260,1220
739,4500,68,1,Retired,Tier_3,870,0,130,600,190,280,110,160,200,220,160,2920,18.1,810,1580,30,0,0,20,20,100,30,0,10,10,40
740,76100,44,1,Salaried,Tier_1,22300,0,1680,6540,2360,2730,2100,3240,2740,640,4210,48540,20.5,15600,27560,670,0,50,200,240,960,630,100,80,20,1050
741,62100,29,4,Salaried,Tier_1,9250,0,1580,9200,3480,3840,1500,3320,2780,6960,3400,45310,20.9,12980,16790,280,0,50,280,350,1340,450,100,80,210,850
742,116000,39,1,Salaried,Tier_1,16600,0,3580,7760,6290,8800,3300,5620,3040,710,4720,60420,11.3,13110,55580,500,0,110,230,630,3080,990,170,90,20,1180
743,59300,33,1,Salaried,Tier_2,13160,0,2890,8620,3120,3930,1640,3130,1500,150,3360,41500,10.5,6230,17800,390,0,90,260,310,1380,490,90,40,0,840
744,119000,42,1,Salaried,Tier_1,36770,0,3790,10330,10110,2380,1510,6990,2990,6890,2690,84450,20.6,24510,34550,1100,0,110,310,1010,830,450,210,90,210,670
745,4500,60,1,Retired,Tier_3,1230,0,90,510,380,350,100,230,180,50,240,3360,23.9,1080,1140,40,0,0,20,40,120,30,10,10,0,60
746,32500,39,1,Business Owner,Tier_3,5490,0,720,4840,2910,920,1090,1830,800,3210,1370,23180,30.8,10010,9320,160,0,20,150,290,320,330,50,20,100,340
747,75400,28,1,Salaried,Tier_3,19130,6960,1750,5410,3000,4050,3550,1840,2090,1210,2820,51810,30.0,22620,23590,570,210,50,160,300,1420,1060,60,60,40,700
748,82400,41,4,Salaried,Tier_2,22930,8920,3980,11650,4480,6550,1770,4830,1980,1570,2730,71390,18.2,15000,11010,690,270,120,350,450,2290,530,140,60,50,680
749,43100,34,1,Salaried,Tier_1,13160,6140,2140,2800,1750,1260,2130,1610,2060,640,1480,35170,23.4,10090,7930,390,180,60,80,180,440,640,50,60,20,370
750,56900,31,1,Salaried,Tier_3,13120,0,1010,4520,3040,5100,810,2690,2510,540,3030,36370,15.7,8930,20530,390,0,30,140,300,1780,240,80,80,20,760
751,63500,33,3,Salaried,Tier_2,7990,0,2320,9100,4990,2860,1930,2500,3570,460,3320,39040,14.3,9080,24460,240,0,70,270,500,1000,580,80,110,10,830
752,60600,61,2,Retired,Tier_1,9840,1440,1690,5060,2090,4480,2270,3030,3230,3170,1510,37810,25.4,15390,22790,300,40,50,150,210,1570,680,90,100,100,380
753,14300,18,0,Student,Tier_2,2120,600,180,890,1160,540,250,570,610,100,690,7710,16.7,2390,6590,60,20,10,30,120,190,80,20,20,0,170
754,82400,44,2,Salaried,Tier_1,21040,12690,850,11720,7190,4050,2430,5690,1660,1310,2440,71070,24.3,20020,11330,630,380,30,350,720,1420,730,170,50,40,610
755,7500,57,1,Retired,Tier_3,1400,0,220,1020,450,260,170,380,380,70,310,4660,32.0,2400,2840,40,0,10,30,40,90,50,10,10,0,80
756,26900,59,3,Retired,Tier_2,5880,3190,1080,2120,1340,1310,940,1720,1120,430,1540,20670,32.7,8800,6230,180,100,30,60,130,460,280,50,30,10,380
757,48400,28,3,Self-Employed,Tier_1,7070,0,2230,4820,2220,3320,560,3490,1950,350,1800,27810,33.9,16410,20590,210,0,70,140,220,1160,170,100,60,10,450
758,18000,36,2,Freelancer,Tier_1,6030,3150,640,1760,1190,420,890,600,900,620,440,16640,14.3,2570,1360,180,90,20,50,120,150,270,20,30,20,110
759,66900,68,2,Retired,Tier_2,19430,300,1020,9310,3040,4420,2470,2840,4290,250,1780,49150,10.6,7090,17750,580,10,30,280,300,1550,740,90,130,10,440
760,29100,20,0,Student,Tier_1,9150,0,570,3560,2260,2510,1410,710,950,60,1470,22650,29.0,8440,6450,270,0,20,110,230,880,420,20,30,0,370
761,190000,30,0,Self-Employed,Tier_1,41480,7910,9080,22420,16080,14460,9270,9630,11330,560,6400,148620,22.1,41990,41380,1240,240,270,670,1610,5060,2780,290,340,20,1600
762,119400,42,3,Business Owner,Tier_1,26100,19880,1690,14950,9400,5000,2100,6740,7210,10710,2710,106490,34.8,41550,12910,780,600,50,450,940,1750,630,200,220,320,680
763,72100,43,0,Salaried,Tier_2,11240,0,2030,4350,3700,6430,3410,3310,2220,1090,4240,42020,31.3,22570,30080,340,0,60,130,370,2250,1020,100,70,30,1060
764,33700,24,0,Salaried,Tier_3,4870,3670,1680,3980,1700,2150,380,1800,870,190,1780,23070,15.9,5360,10630,150,110,50,120,170,750,110,50,30,10,440
765,85200,25,4,Freelancer,Tier_1,14460,6370,2260,7420,5270,2150,1900,3600,1250,1500,2820,49000,27.2,23170,36200,430,190,70,220,530,750,570,110,40,40,700
766,7300,18,0,Student,Tier_3,1310,0,130,560,570,260,150,390,270,70,400,4110,29.9,2180,3190,40,0,0,20,60,90,40,10,10,0,100
767,36800,37,1,Self-Employed,Tier_2,10350,0,430,5310,2030,2920,760,880,530,4190,1600,29000,10.9,4010,7800,310,0,10,160,200,1020,230,30,20,130,400
768,66600,25,2,Self-Employed,Tier_2,17510,0,1110,8640,4270,6450,2350,1600,1620,850,1780,46180,33.8,22510,20420,530,0,30,260,430,2260,700,50,50,30,440
769,6000,21,0,Student,Tier_2,1560,0,190,390,260,400,110,250,160,40,260,3620,32.6,1960,2380,50,0,10,10,30,140,30,10,0,0,60
770,74300,32,2,Salaried,Tier_1,17910,15980,1950,6490,3360,2150,1290,3930,1380,900,1880,57220,9.1,6760,17080,540,480,60,190,340,750,390,120,40,30,470
771,48400,55,2,Retired,Tier_2,11490,0,2090,3430,1760,1670,760,2750,2770,5050,1600,33370,19.1,9240,15030,340,0,60,100,180,580,230,80,80,150,400
772,63500,27,1,Business Owner,Tier_2,17560,11990,2320,6800,5520,3860,1280,2560,1230,890,3390,57400,28.2,17910,6100,530,360,70,200,550,1350,380,80,40,30,850
773,129200,28,2,Self-Employed,Tier_1,22560,21860,3740,18140,4380,8030,2860,4340,3000,2010,6920,97840,34.0,43930,31360,680,660,110,540,440,2810,860,130,90,60,1730
774,76900,29,1,Salaried,Tier_2,16870,10860,1210,6760,4020,2910,1070,4520,2980,430,2780,54410,9.7,7460,22490,510,330,40,200,400,1020,320,140,90,10,700
775,53700,66,1,Retired,Tier_1,13800,0,2520,6390,4760,1090,2600,1920,2580,540,2290,38490,8.0,4300,15210,410,0,80,190,480,380,780,60,80,20,570
776,160700,59,0,Salaried,Tier_1,48940,20720,5650,18250,14080,9570,3900,5660,6630,2580,5300,141280,31.2,50140,19420,1470,620,170,550,1410,3350,1170,170,200,80,1320
777,30700,22,1,Salaried,Tier_2,4250,0,590,4290,1300,1500,1530,760,1460,540,1160,17380,11.7,3590,13320,130,0,20,130,130,520,460,20,40,20,290
778,169800,39,2,Business Owner,Tier_1,58280,0,7740,25890,6050,17250,5850,4680,4430,12190,8470,150830,33.3,56540,18970,1750,0,230,780,600,6040,1760,140,130,370,2120
779,70400,32,2,Salaried,Tier_2,21020,0,3200,5550,4240,2540,2330,1630,3660,7900,3530,55600,23.0,16190,14800,630,0,100,170,420,890,700,50,110,240,880
780,63000,19,3,Salaried,Tier_2,9740,0,1220,4970,2570,4910,1130,2480,1020,510,2820,31370,8.9,5610,31630,290,0,40,150,260,1720,340,70,30,20,700
781,104300,22,3,Business Owner,Tier_2,25430,19130,1710,11670,4200,2810,1770,6950,4010,160,2740,80580,10.0,10430,23720,760,570,50,350,420,980,530,210,120,0,680
782,49700,19,1,Salaried,Tier_2,12350,0,1550,7090,3260,4340,1660,1780,1750,740,2180,36700,25.8,12820,13000,370,0,50,210,330,1520,500,50,50,20,540
783,41800,42,3,Salaried,Tier_2,11020,0,750,4340,3190,2200,570,2240,2580,100,930,27920,27.9,11660,13880,330,0,20,130,320,770,170,70,80,0,230
784,41500,36,0,Self-Employed,Tier_3,10300,0,500,3090,3430,3780,810,910,2200,410,950,26380,22.6,9380,15120,310,0,20,90,340,1320,240,30,70,10,240
785,10800,40,2,Salaried,Tier_2,2920,330,450,1450,380,330,300,460,520,100,540,7780,20.4,2200,3020,90,10,10,40,40,120,90,10,20,0,140
786,82900,28,1,Business Owner,Tier_3,10360,12130,910,11170,2640,4240,3340,4680,3520,120,2290,55400,33.7,27940,27500,310,360,30,340,260,1480,1000,140,110,0,570
787,60300,24,1,Salaried,Tier_3,15040,0,1360,7410,4680,3330,1300,2060,1170,590,1560,38500,26.0,15680,21800,450,0,40,220,470,1170,390,60,40,20,390
788,82700,19,0,Self-Employed,Tier_1,25520,5260,2880,5240,4360,2270,2260,1740,3300,0,2520,55350,14.6,12070,27350,770,160,90,160,440,790,680,50,100,0,630
789,48500,26,2,Salaried,Tier_1,9060,0,1010,4400,2390,3220,1200,2970,2770,330,1050,28400,27.3,13240,20100,270,0,30,130,240,1130,360,90,80,10,260
790,222000,32,1,Business Owner,Tier_1,59040,0,2370,26360,15130,22830,10430,6570,3170,7130,4860,157890,11.3,25090,64110,1770,0,70,790,1510,7990,3130,200,100,210,1220
791,48600,43,2,Salaried,Tier_3,13330,0,2330,5630,4170,2730,1220,2850,2050,370,1490,36170,12.2,5930,12430,400,0,70,170,420,960,370,90,60,10,370
792,49800,33,0,Salaried,Tier_2,11100,7330,1950,4610,1970,1840,1330,2420,1410,650,2050,36660,13.8,6870,13140,330,220,60,140,200,640,400,70,40,20,510
793,59700,51,2,Salaried,Tier_3,10980,0,2410,8950,1940,2880,1140,3260,1870,4890,1900,40220,33.9,20240,19480,330,0,70,270,190,1010,340,100,60,150,480
794,8800,22,0,Student,Tier_1,2260,0,270,1170,670,630,220,370,310,30,520,6450,17.0,1500,2350,70,0,10,40,70,220,70,10,10,0,130
795,35900,63,1,Retired,Tier_2,9820,0,1680,2970,2720,1610,1550,1180,1000,3050,1280,26860,14.0,5030,9040,290,0,50,90,270,560,460,40,30,90,320
796,124500,31,3,Salaried,Tier_1,37470,14910,4270,11720,8170,7990,2230,4430,4670,720,3610,100190,31.8,39590,24310,1120,450,130,350,820,2800,670,130,140,20,900
797,20900,55,0,Freelancer,Tier_2,3740,0,590,2090,1140,1230,930,1160,220,70,1100,12270,34.9,7290,8630,110,0,20,60,110,430,280,30,10,0,280
798,71100,26,1,Salaried,Tier_1,18600,14460,1410,6920,4150,4920,1460,2410,4530,150,3480,62490,19.2,13650,8610,560,430,40,210,420,1720,440,70,140,0,870
799,72500,36,2,Salaried,Tier_2,9630,1960,2250,10240,3420,4190,1380,3020,2850,7290,3150,49380,28.4,20590,23120,290,60,70,310,340,1470,410,90,90,220,790
800,8100,28,1,Salaried,Tier_1,1970,0,230,760,450,210,380,420,460,40,330,5250,19.0,1540,2850,60,0,10,20,40,70,110,10,10,0,80
801,39300,22,0,Business Owner,Tier_3,7800,6840,470,4540,1450,1370,1620,810,480,140,2340,27860,22.0,8650,11440,230,210,10,140,140,480,490,20,10,0,580
802,79500,43,2,Salaried,Tier_1,13510,0,1810,11030,2860,2570,1490,5160,2560,7800,3210,52000,13.0,10340,27500,410,0,50,330,290,900,450,150,80,230,800
803,6000,40,0,Self-Employed,Tier_2,1780,0,130,820,220,300,190,310,360,80,200,4390,14.4,860,1610,50,0,0,20,20,100,60,10,10,0,50
804,5500,20,0,Student,Tier_3,1270,0,80,490,390,120,240,220,330,60,120,3320,15.8,870,2180,40,0,0,10,40,40,70,10,10,0,30
805,17800,37,1,Self-Employed,Tier_3,3430,2340,590,2600,980,1360,750,1050,820,270,810,15000,28.5,5070,2800,100,70,20,80,100,480,220,30,20,10,200
806,166900,35,0,Business Owner,Tier_2,43570,21270,5920,17610,6480,11930,3630,8490,9070,1710,8630,138310,31.1,51910,28590,1310,640,180,530,650,4180,1090,250,270,50,2160
807,32200,70,3,Retired,Tier_3,6360,0,1560,2570,2170,700,1040,1050,1680,260,1180,18570,32.1,10340,13630,190,0,50,80,220,240,310,30,50,10,300
808,246800,27,1,Business Owner,Tier_1,45710,0,5680,30120,20850,19400,11340,10880,11420,2490,5110,163000,30.1,74290,83800,1370,0,170,900,2080,6790,3400,330,340,70,1280
809,28700,28,2,Salaried,Tier_1,7320,0,320,4140,2210,1390,1160,1390,580,340,680,19530,22.9,6570,9170,220,0,10,120,220,490,350,40,20,10,170
810,8100,19,0,Self-Employed,Tier_1,2060,1440,110,1020,670,720,340,260,220,130,200,7170,30.8,2490,930,60,40,0,30,70,250,100,10,10,0,50
811,76200,41,2,Freelancer,Tier_1,24000,13960,1260,10620,2290,5090,2330,3890,4890,530,4570,73430,11.2,8530,2770,720,420,40,320,230,1780,700,120,150,20,1140
812,64200,63,2,Retired,Tier_1,9200,0,1610,4800,4420,1640,2260,1710,3490,60,2330,31520,12.8,8220,32680,280,0,50,140,440,570,680,50,100,0,580
813,77600,46,0,Business Owner,Tier_1,13020,12460,1460,6390,2410,5090,2150,2430,1410,1000,2950,50770,11.8,9160,26830,390,370,40,190,240,1780,640,70,40,30,740
814,33900,27,0,Salaried,Tier_3,9390,5410,1460,4540,2890,3010,1110,1940,450,470,710,31380,33.3,11290,2520,280,160,40,140,290,1050,330,60,10,10,180
815,116600,44,2,Business Owner,Tier_1,19290,23890,2840,18190,4920,11770,3040,5230,7620,6500,3290,106580,34.9,40690,10020,580,720,90,550,490,4120,910,160,230,200,820
816,15900,21,0,Student,Tier_2,4270,0,360,1550,1000,1400,400,440,510,260,660,10850,16.3,2590,5050,130,0,10,50,100,490,120,10,20,10,160
817,157900,40,3,Self-Employed,Tier_2,42180,14980,3380,12580,9020,12840,6830,7040,7190,17580,8870,142490,28.0,44210,15410,1270,450,100,380,900,4490,2050,210,220,530,2220
818,63000,39,2,Self-Employed,Tier_2,17520,0,2110,9220,2280,2540,1940,4310,1360,620,3110,45010,21.3,13420,17990,530,0,60,280,230,890,580,130,40,20,780
819,160800,35,2,Business Owner,Tier_2,43840,6270,5990,15940,5110,6950,6430,10890,2080,2270,7000,112770,27.4,44060,48030,1320,190,180,480,510,2430,1930,330,60,70,1750
820,66800,19,3,Salaried,Tier_2,12860,0,1300,7650,5130,2020,2790,2870,840,650,1560,37670,30.7,20510,29130,390,0,40,230,510,710,840,90,30,20,390
821,116200,31,2,Salaried,Tier_2,20950,0,5520,15490,6310,3550,1500,6210,7660,1010,4980,73180,16.8,19520,43020,630,0,170,460,630,1240,450,190,230,30,1240
822,62900,33,1,Salaried,Tier_2,10590,0,2160,5650,3950,1330,1030,3780,810,370,1340,31010,24.3,15280,31890,320,0,60,170,400,470,310,110,20,10,340
823,7500,19,0,Business Owner,Tier_2,1290,210,340,650,560,500,260,340,180,60,310,4700,20.4,1530,2800,40,10,10,20,60,180,80,10,10,0,80
824,13100,25,1,Freelancer,Tier_3,1990,2580,340,1290,550,970,480,300,580,60,670,9810,34.0,4450,3290,60,80,10,40,60,340,140,10,20,0,170
825,37100,45,1,Salaried,Tier_2,10560,4130,1440,2900,2970,1570,1230,1590,1900,530,1530,30350,26.4,9790,6750,320,120,40,90,300,550,370,50,60,20,380
826,16300,32,0,Salaried,Tier_2,4000,3170,600,2110,1230,770,640,540,540,10,760,14370,12.5,2040,1930,120,100,20,60,120,270,190,20,20,0,190
827,23000,18,0,Student,Tier_1,5370,0,360,2900,1530,760,460,1340,1020,310,1240,15290,29.3,6740,7710,160,0,10,90,150,270,140,40,30,10,310
828,107800,45,1,Freelancer,Tier_1,20690,16230,5030,8720,8160,7610,5100,3160,6670,5030,6330,92730,12.6,13580,15070,620,490,150,260,820,2660,1530,90,200,150,1580
829,8100,20,0,Student,Tier_1,2560,1670,120,950,420,180,290,330,470,140,340,7470,8.4,680,630,80,50,0,30,40,60,90,10,10,0,80
830,13900,24,0,Salaried,Tier_2,2150,1920,210,1590,840,840,650,340,470,120,300,9430,22.1,3070,4470,60,60,10,50,80,290,200,10,10,0,80
831,120400,33,1,Business Owner,Tier_2,24280,8660,2780,8920,8880,6590,5470,6850,4390,12220,4930,93970,14.4,17340,26430,730,260,80,270,890,2310,1640,210,130,370,1230
832,68300,28,4,Salaried,Tier_3,18600,10480,2440,6200,5940,5150,780,3080,2960,760,3960,60350,11.3,7720,7950,560,310,70,190,590,1800,230,90,90,20,990
833,106700,49,2,Self-Employed,Tier_2,29030,12370,4720,10880,4240,3790,2480,6480,6250,5480,2380,88100,16.8,17930,18600,870,370,140,330,420,1330,740,190,190,160,600
834,16400,42,1,Freelancer,Tier_2,2460,1780,390,1540,1220,1100,520,590,700,1900,850,13050,16.6,2720,3350,70,50,10,50,120,380,160,20,20,60,210
835,243500,36,2,Business Owner,Tier_2,47980,0,3760,36180,20200,6720,10240,9860,6070,2840,7130,150980,33.9,82550,92520,1440,0,110,1090,2020,2350,3070,300,180,90,1780
836,20900,28,3,Salaried,Tier_3,5780,0,210,2260,670,720,740,1090,500,40,670,12680,31.0,6480,8220,170,0,10,70,70,250,220,30,20,0,170
837,25800,19,0,Self-Employed,Tier_1,8850,0,720,2860,1460,2680,920,670,270,170,1050,19650,27.9,7200,6150,270,0,20,90,150,940,280,20,10,10,260
838,197300,34,2,Salaried,Tier_1,34290,23590,8420,27230,8170,4810,3550,5890,11910,30,6350,134240,10.5,20720,63060,1030,710,250,820,820,1680,1060,180,360,0,1590
839,89800,40,2,Salaried,Tier_1,12840,0,2590,10570,3160,4660,3720,5830,3540,3460,4480,54850,17.8,15980,34950,390,0,80,320,320,1630,1120,170,110,100,1120
840,191200,39,0,Business Owner,Tier_2,34140,0,5820,23330,13420,11870,8790,8060,8890,1350,8030,123700,12.9,24660,67500,1020,0,170,700,1340,4150,2640,240,270,40,2010
841,80800,30,1,Salaried,Tier_1,26630,0,3930,11910,6910,3460,1370,3760,3350,890,4010,66220,31.8,25690,14580,800,0,120,360,690,1210,410,110,100,30,1000
842,13400,65,0,Retired,Tier_2,2940,700,220,1500,970,500,440,750,270,130,430,8850,19.3,2590,4550,90,20,10,40,100,180,130,20,10,0,110
843,6000,26,1,Self-Employed,Tier_2,1590,380,290,680,270,270,250,330,260,80,160,4560,20.1,1210,1440,50,10,10,20,30,90,80,10,10,0,40
844,39900,28,1,Freelancer,Tier_3,6560,7910,1150,4400,2390,1110,1180,2410,1140,420,1690,30360,32.7,13050,9540,200,240,30,130,240,390,350,70,30,10,420
845,25000,37,2,Salaried,Tier_1,5510,4350,1110,3010,1010,2050,520,1220,1170,420,1380,21750,22.0,5500,3250,170,130,30,90,100,720,160,40,40,10,340
846,67600,29,2,Self-Employed,Tier_2,10360,9480,1740,5090,5430,5880,3370,3980,1580,2260,2170,51340,32.9,22240,16260,310,280,50,150,540,2060,1010,120,50,70,540
847,17100,19,2,Business Owner,Tier_3,2260,3140,280,1520,1260,1700,760,410,350,180,870,12730,27.7,4740,4370,70,90,10,50,130,600,230,10,10,10,220
848,9600,42,1,Self-Employed,Tier_1,2540,0,100,970,560,400,320,250,610,170,210,6130,12.1,1160,3470,80,0,0,30,60,140,100,10,20,10,50
849,136300,36,3,Salaried,Tier_1,31970,0,1650,18330,10190,3580,1980,6100,2780,2960,3390,82930,27.5,37480,53370,960,0,50,550,1020,1250,590,180,80,90,850
850,72600,21,0,Salaried,Tier_2,16850,11650,830,7680,4060,3170,2280,3370,2380,1150,3810,57230,29.0,21050,15370,510,350,20,230,410,1110,680,100,70,30,950
851,82400,19,1,Salaried,Tier_2,21600,12380,2890,6340,4140,1700,3020,5280,1560,430,2070,61410,30.7,25300,20990,650,370,90,190,410,600,910,160,50,10,520
852,56700,19,4,Self-Employed,Tier_2,14380,8170,2390,5780,3970,4200,860,3580,2610,20,1350,47310,34.2,19390,9390,430,250,70,170,400,1470,260,110,80,0,340
853,110600,19,0,Salaried,Tier_1,23660,7470,5190,8510,3500,9500,5030,5660,1250,1970,6330,78070,19.4,21460,32530,710,220,160,260,350,3320,1510,170,40,60,1580
854,146100,35,3,Salaried,Tier_1,49320,13860,6500,11190,6380,4220,3110,8330,9970,900,4450,118230,31.3,45730,27870,1480,420,200,340,640,1480,930,250,300,30,1110
855,31500,39,1,Freelancer,Tier_2,5200,0,1090,4510,1710,1720,1470,1550,970,3380,1020,22620,9.8,3090,8880,160,0,30,140,170,600,440,50,30,100,260
856,50400,43,1,Salaried,Tier_2,7010,9280,1010,5160,1850,2970,2050,2820,1940,230,1060,35380,32.6,16430,15020,210,280,30,150,180,1040,620,80,60,10,260
857,65800,36,2,Freelancer,Tier_2,9810,0,2090,7740,5180,4400,1840,1980,880,5680,3880,43480,27.0,17770,22320,290,0,60,230,520,1540,550,60,30,170,970
858,98700,44,1,Self-Employed,Tier_1,14600,18900,2410,10920,4590,4860,4150,2880,4820,290,4210,72630,12.9,12730,26070,440,570,70,330,460,1700,1240,90,140,10,1050
859,109400,45,0,Self-Employed,Tier_2,18130,710,1620,6610,4590,8790,4910,3060,3300,1620,6210,59550,19.9,21770,49850,540,20,50,200,460,3080,1470,90,100,50,1550
860,105300,19,3,Salaried,Tier_2,28380,16200,3050,8170,9350,5080,2850,4230,3460,1120,5290,87180,29.5,31060,18120,850,490,90,250,940,1780,860,130,100,30,1320
861,53700,40,1,Salaried,Tier_2,12780,6920,1710,7850,1830,3760,2160,3150,2410,1740,1080,45390,14.7,7890,8310,380,210,50,240,180,1320,650,90,70,50,270
862,30900,61,0,Retired,Tier_1,6170,0,1320,4150,1660,1930,1530,1410,1310,110,1350,20940,26.5,8190,9960,190,0,40,120,170,680,460,40,40,0,340
